Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"When he got back, Monsignor Lantheaume told me that in El Paso he had met Cardinal McCarrick who, taking him aside, told him almost the same words that the Pope had said to me in Rome: “the Bishops in the United States must not be ideologized, they must not be right-wing, they must be shepherds….” I was astounded!",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"When he got back, Monsignor Lantheaume told me that in El Paso he had met Cardinal McCarrick who, taking him aside, told him almost the same words that the Pope had said to me in Rome: “the Bishops in the United States must not be ideologized, they must not be right-wing, they must be shepherds….” I was astounded!"
"Extolling his particular expertise in the matter, having been President of the Committee on Protection of Children and Young People of the USCCB, he asserted that the main problem in the crisis of sexual abuse by clergy is not homosexuality, and that affirming this is only a way of diverting attention from the real problem which is clericalism.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Extolling his particular expertise in the matter, having been President of the Committee on Protection of Children and Young People of the USCCB, he asserted that the main problem in the issue of sexual abuse by clergy is not homosexuality, and that affirming this is only a way of diverting attention from the real problem which is clericalism."
"In support of this thesis, Cupich “oddly” made reference to the results of research carried out at the height of the sexual abuse of minors crisis in the early 2000s, while he “candidly” ignored that the results of that investigation were totally denied by the subsequent Independent Reports by the John Jay College of Criminal Justice in 2004 and 2011, which concluded that, in cases of sexual abuse, 81% of the victims were male.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"In support of this thesis, Cupich “oddly” made reference to the results of research carried out at the height of the sexual abuse of minors issue in the early 2000s, while he “candidly” ignored that the results of that investigation were totally denied by the subsequent Independent Reports by the John Jay College of Criminal Justice in 2004 and 2011, which concluded that, in cases of sexual abuse, 81% of the victims were male."
"Father James Martin, S.J., acclaimed by the people mentioned above, in particular Cupich, Tobin, Farrell and McElroy, appointed Consultor of the Secretariat for Communications, well-known activist who promotes the LGBT agenda, chosen to corrupt the young people who will soon gather in Dublin for the World Meeting of Families, is nothing but a sad recent example of that deviated wing of the Society of Jesus.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Father James Martin, S.J., acclaimed by the people mentioned above, in particular Cupich, Tobin, Farrell and McElroy, appointed Consultor of the Secretariat for Communications, well-known activist who promotes the LGBT agenda, chosen to corrupt the young people who will soon gather in Dublin for the World Meeting of Families, is nothing but a sad recent example of that deviated wing of the Society of Jesus."
"He must honestly state when he first learned about the crimes committed by McCarrick, who abused his authority with seminarians and priests.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"He must honestly state when he first learned about the crimes committed by McCarrick, who abused his authority with seminarians and priests."
"By now the faithful have well understood Maradiaga’s strategy: insult the victims to save himself, lie to the bitter end to cover up a chasm of abuses of power, of mismanagement in the administration of Church property, and of financial disasters even against close friends, as in the case of the Ambassador of Honduras Alejandro Valladares, former Dean of the Diplomatic Corps to the Holy See.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"By now the faithful have well understood Maradiaga’s strategy: insult the victims to save himself, lie to the bitter end to cover up a chasm of abuses of power, of mismanagement in the administration of Church property, and of financial disasters even against close friends, as in the case of the Ambassador of Honduras Alejandro Valladares, former Dean of the Diplomatic Corps to the Holy See."
"In the name of the transparency so hailed by the Pope, the report that the Visitator, Argentine bishop Alcides Casaretto, delivered more than a year ago only and directly to the Pope, must be made public.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"In the name of the transparency so hailed by the Pope, the report that the Visitator, Argentine bishop Alcides Casaretto, delivered more than a year ago only and directly to the Pope, must be made public."
"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church."
A time of conversion and penance must be proclaimed.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,A time of conversion and penance must be proclaimed.
The virtue of chastity must be recovered in the clergy and in seminaries.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,The virtue of chastity must be recovered in the clergy and in seminaries.
Corruption in the misuse of the Church’s resources and of the offerings of the faithful must be fought against.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Corruption in the misuse of the Church’s resources and of the offerings of the faithful must be fought against.
The seriousness of homosexual behavior must be denounced.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,The seriousness of homosexual behavior must be denounced.
"The homosexual networks present in the Church must be eradicated, as Janet Smith, Professor of Moral Theology at the Sacred Heart Major Seminary in Detroit, recently wrote.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"The homosexual networks present in the Church must be eradicated, as Janet Smith, Professor of Moral Theology at the Sacred Heart Major Seminary in Detroit, recently wrote."
"The deeper problem lies in homosexual networks within the clergy which must be eradicated.” These homosexual networks, which are now widespread in many dioceses, seminaries, religious orders, etc., act under the concealment of secrecy and lies with the power of octopus tentacles, and strangle innocent victims and priestly vocations, and are strangling the entire Church.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"The deeper problem lies in homosexual networks within the clergy which must be eradicated.” These homosexual networks, which are now widespread in many dioceses, seminaries, religious orders, etc., act under the concealment of secrecy and lies with the power of octopus tentacles, and strangle innocent victims and priestly vocations, and are strangling the entire Church."
"In his 2008 homily on the Feast of the Epiphany, Pope Benedict reminded us that the Father’s plan of salvation had been fully revealed and realized in the mystery of Christ’s death and resurrection, but it needs to be welcomed in human history, which is always a history of fidelity on God’s part and unfortunately also of infidelity on the part of us men.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"In his 2008 homily on the Feast of the Epiphany, Pope Benedict reminded us that the Father’s plan of salvation had been fully revealed and realized in the mystery of Christ’s death and resurrection, but it needs to be welcomed in human history, which is always a history of fidelity on God’s part and unfortunately also of infidelity on the part of us men."
"If we do not oppose evil, we tacitly feed it.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"If we do not oppose evil, we tacitly feed it."
"We need to intervene where evil is spreading; for evil spreads where daring Christians who oppose evil with good are lacking.” If this is rightly to be considered a serious moral responsibility for every believer, how much graver is it for the Church’s supreme pastor, who in the case of McCarrick not only did not oppose evil but associated himself in doing evil with someone he knew to be deeply corrupt.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"We need to intervene where evil is spreading; for evil spreads where daring Christians who oppose evil with good are lacking.” If this is rightly to be considered a serious moral responsibility for every believer, how much graver is it for the Church’s supreme pastor, who in the case of McCarrick not only did not oppose evil but associated himself in doing evil with someone he knew to be deeply corrupt."
"He followed the advice of someone he knew well to be a pervert, thus multiplying exponentially with his supreme authority the evil done by McCarrick.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"He followed the advice of someone he knew well to be a pervert, thus multiplying exponentially with his supreme authority the evil done by McCarrick."
And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!
"In this extremely dramatic moment for the universal Church, he must acknowledge his mistakes and, in keeping with the proclaimed principle of zero tolerance, Pope Francis must be the first to set a good example for cardinals and bishops who covered up McCarrick’s abuses and resign along with all of them.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"In this  dramatic moment for the universal Church, he must acknowledge his mistakes and, in keeping with the proclaimed principle of zero tolerance, Pope Francis must be the first to set a good example for cardinals and bishops who covered up McCarrick’s abuses and resign along with all of them."
"Let us all renew faith in the Church our Mother: “I believe in one, holy, catholic and apostolic Church!”
Christ will never abandon His Church!",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Let us all renew faith in the Church our Mother: “I believe in one, holy, catholic and apostolic Church!” Christ will never abandon His Church!"
"Khecharem predicted that “this will happen, of course, after the elimination of the filthy Jewish entity, and after liberation of the lands under direct colonization, like Kashmir and others.”
If Said Khecharem were a non-Muslim saying that Muslims needed to destroy “the filthy Jewish entity” and conquer America, Britain, Russia, France, and Italy, he would be accused of “Islamophobia” and “bigotry.” But no one will take any particular notice of this.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Khecharem predicted that “this will happen, of course, after the elimination of the filthy Jewish entity, and after liberation of the lands under direct colonization, like Kashmir and others.” If Said Khecharem were a non-Muslim saying that Muslims needed to destroy “the filthy Jewish entity” and conquer America, Britain, Russia, France, and Italy, he would be accused of “Islamophobia” and “bigotry.” But no one will take any particular notice of this."
"As the jihadis move against non-Muslim states without any letup, pause, period of coexistence, period of tolerance, reformation, or reconsideration, there never appears any force of Muslims to oppose them.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"As the jihadis move against non-Muslim states without any letup, pause, period of coexistence, period of tolerance, reformation, or reconsideration, there never appears any force of Muslims to oppose them."
"While it is undoubtedly true that not all Muslims in any given age have ever waged jihad, there has never been in Islamic history an Islamic entity or organization that was opposed to waging jihad and dedicated to stopping those who were waging it.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"While it is undoubtedly true that not all Muslims in any given age have ever waged jihad, there has never been in Islamic history an Islamic entity or organization that was opposed to waging jihad and dedicated to stopping those who were waging it."
"Islamic groups in the West issue pro-forma condemnations after every jihad terror attack, but are doing little or nothing to try to prevent the next one.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Islamic groups in the West issue pro-forma condemnations after every jihad terror attack, but are doing little or nothing to try to prevent the next one."
"Instead, if they have taken any notice of him at all, which is unlikely, they have dismissed him as an “extremist.”
They have yet to come to grips with the fact that “extremism” is and always has been so distressingly widespread in Muslim communities.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Instead, if they have taken any notice of him at all, which is unlikely, they have dismissed him as an “extremist.” They have yet to come to grips with the fact that “extremism” is and always has been so distressingly widespread in Muslim communities."
"This article was first written to address the neo-Catholic commentator Massimo Faggioli’s attempt , following the Pennsylvania grand jury report and the fall of ex-Cardinal Theodore McCarrick, to minimize the homosexual crisis in the Church and blunt the correlative rise of what he derides as “neo-traditionalism.” As my piece was about to go to press, however, EWTN’s National Catholic Register broke the explosive story on the written testimony of Archbishop Carlo Maria Viganò , former apostolic nuncio to the United States (2011 to 2016).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"This article was first written to address the neo-Catholic commentator Massimo Faggioli’s attempt , following the Pennsylvania grand jury report and the fall of ex-Cardinal Theodore McCarrick, to minimize the homosexual issue in the Church and blunt the correlative rise of what he derides as “neo-traditionalism.” As my piece was about to go to press, however, EWTN’s National Catholic Register broke the explosive story on the written testimony of Archbishop Carlo Maria Viganò , former apostolic nuncio to the United States (2011 to 2016)."
Faggioli’s propaganda piece now becomes merely illustrative of the points to be made here in light of this astonishing and indeed providential development.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,Faggioli’s propaganda piece now becomes merely illustrative of the points to be made here in light of this astonishing and indeed providential development.
"As to Bergoglio in particular, he courageously states openly the truth that so many of his brethren know but fear to speak in public:
I want to recall this indefectible truth of the Church’s holiness to the many people who have been so deeply scandalized by the abominable and sacrilegious behavior of the former Archbishop of Washington, Theodore McCarrick; by the grave, disconcerting and sinful conduct of Pope Francis and by the conspiracy of silence of so many pastors, and who are tempted to abandon the Church, disfigured by so many ignominies.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"As to Bergoglio in particular, he courageously states openly the truth that so many of his brethren know but fear to speak in public: I want to recall this indefectible truth of the Church’s holiness to the many people who have been so deeply scandalized by the abominable and sacrilegious behavior of the former Archbishop of Washington, Theodore McCarrick; by the grave, disconcerting and sinful conduct of Pope Francis and by the conspiracy of silence of so many pastors, and who are tempted to abandon the Church, disfigured by so many ignominies."
"If we do not oppose evil, we tacitly feed it.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"If we do not oppose evil, we tacitly feed it."
"We need to intervene where evil is spreading; for evil spreads where daring Christians who oppose evil with good are lacking.” [emphasis in original] If this is rightly to be considered a serious moral responsibility for every believer, how much graver is it for the Church’s supreme pastor, who in the case of McCarrick not only did not oppose evil but associated himself in doing evil with someone he knew to be deeply corrupt.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"We need to intervene where evil is spreading; for evil spreads where daring Christians who oppose evil with good are lacking.” [emphasis in original] If this is rightly to be considered a serious moral responsibility for every believer, how much graver is it for the Church’s supreme pastor, who in the case of McCarrick not only did not oppose evil but associated himself in doing evil with someone he knew to be deeply corrupt."
"He followed the advice of someone he knew well to be a pervert, thus multiplying exponentially with his supreme authority the evil done by McCarrick.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"He followed the advice of someone he knew well to be a pervert, thus multiplying exponentially with his supreme authority the evil done by McCarrick."
And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!
"In this extremely dramatic moment for the universal Church, he must acknowledge his mistakes and, in keeping with the proclaimed principle of zero tolerance, Pope Francis must be the first to set a good example for cardinals and bishops who covered up McCarrick’s abuses and resign along with all of them.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"In this  dramatic moment for the universal Church, he must acknowledge his mistakes and, in keeping with the proclaimed principle of zero tolerance, Pope Francis must be the first to set a good example for cardinals and bishops who covered up McCarrick’s abuses and resign along with all of them."
"With Viganò’s testimony, the widespread homosexual infiltration of the post-Vatican II hierarchy, from the top on down, now emerges mountainously into view, never to be buried again.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"With Viganò’s testimony, the widespread homosexual infiltration of the post-Vatican II hierarchy, from the top on down, now emerges mountainously into view, never to be buried again."
"Yet there is little doubt they will continue the same polemic that for nearly sixty years has doggedly defended every one of the ruinous “reforms” that have resulted in a debacle without equal in Church history, even considering the Arian crisis of the 4th century.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Yet there is little doubt they will continue the same polemic that for nearly sixty years has doggedly defended every one of the ruinous “reforms” that have resulted in a debacle without equal in Church history, even considering the Arian issue of the 4th century."
"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder."
"Only hours after Viganò’s sworn testimony appeared online, the professional Catholic dissident Sean Michael Winters, writing for National Catholic Reporter, smeared the former Apostolic Nuncio to the United States, who holds doctorates in both civil and canon law, as “a trafficker in conspiracy theories who mixes fact, fiction and venom,” “more than a little obsessed with homosexuality”—like Oliver Stone, who “was obsessed with the grassy knoll”—“a disgruntled former employee” and “always a crackpot.” Without addressing the merits, Winters dismissed Archbishop Viganò’s “wild claims” about bishops who are “subverting Catholic doctrine on homosexuality” and accused the Archbishop, along with unnamed other bishops and archbishops, of “speak[ing] about gay people with such hatred…”
Winters issues the dire warning that “A putsch is afoot and if the U.S. bishops do not, as a body, stand up to defend the Holy Father in the next 24 hours, we shall be slipping towards schism long before the bishops’ meeting in November.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Only hours after Viganò’s sworn testimony appeared online, the professional Catholic dissident Sean Michael Winters, writing for National Catholic Reporter, smeared the former Apostolic Nuncio to the United States, who holds doctorates in both civil and canon law, as “a trafficker in conspiracy theories who mixes fact, fiction and venom,” “more than a little obsessed with homosexuality”—like Oliver Stone, who “was obsessed with the grassy knoll”—“a disgruntled former employee” and “always a crackpot.” Without addressing the merits, Winters dismissed Archbishop Viganò’s “wild claims” about bishops who are “subverting Catholic doctrine on homosexuality” and accused the Archbishop, along with unnamed other bishops and archbishops, of “speak[ing] about gay people with such hatred…” Winters issues the dire warning that “A putsch is afoot and if the U.S. bishops do not, as a body, stand up to defend the Holy Father in the next 24 hours, we shall be slipping towards schism long before the bishops’ meeting in November."
"The enemies of Francis have declared war.” Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to its final extremity.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"The enemies of Francis have declared war.” Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to its final extremity."
"), that he “has a history” of “innuendo and conspiracy theories” (a gratuitous assertion unsupported by evidence of falsity), that he allegedly quashed an investigation of Archbishop John Nienstedt and ordered evidence destroyed (an allegation Viganò has immediately and categorically denied with conclusive supporting documents, but in any event a tuo quoque fallacy) and that Allen has “the impression that all this was orchestrated with a political agenda in mind” (the same “conspiracy theory” mentality he gratuitously attributes to Viganò).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"), that he “has a history” of “innuendo and conspiracy theories” (a gratuitous assertion unsupported by evidence of falsity), that he allegedly quashed an investigation of Archbishop John Nienstedt and ordered evidence destroyed (an allegation Viganò has immediately and categorically denied with conclusive supporting documents, but in any event a tuo quoque fallacy) and that Allen has “the impression that all this was orchestrated with a political agenda in mind” (the same “conspiracy theory” mentality he gratuitously attributes to Viganò)."
"Yet, making no attempt to refute Viganò’s account on the merits, he tries to wave it all aside with his usual mode of argument—puerile mockery: “But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it.” Shea’s ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well, if those people believe it, it can’t be true.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Yet, making no attempt to refute Viganò’s account on the merits, he tries to wave it all aside with his usual mode of argument—puerile mockery: “But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it.” Shea’s ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well, if those people believe it, it can’t be true."
"The neo-Catholic propaganda mill will have a very difficult time smearing this witness, however.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"The neo-Catholic propaganda mill will have a  difficult time smearing this witness, however."
"- Bishop Thomas Olmsted of Phoenix, Arizona, issued a statement affirming that he has known Viganò for 39 years, has “always known and respected him as a man of truthfulness, faith and integrity” and that his testimony should “be taken seriously by all…”
- Archbishop Allen Vigneron of Detroit, Michigan issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity.” (The statement has since apparently been scrubbed from the diocesan website.)",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"- Bishop Thomas Olmsted of Phoenix, Arizona, issued a statement affirming that he has known Viganò for 39 years, has “always known and respected him as a man of truthfulness, faith and integrity” and that his testimony should “be taken seriously by all…” - Archbishop Allen Vigneron of Detroit, Michigan issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity.” (The statement has since apparently been scrubbed from the diocesan website.)"
"There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò.”
- Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”
- [And just two days ago, Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church.""]",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò.” - Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.” - [And just two days ago, Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church.""]"
"In another setback for the propaganda machine gearing up to impeach Viganò’s testimony, the Catholic Herald has just reported that Cardinal Wuerl must have known full well from Viganò himself that McCarrick was under Pope Benedict’s papal sanctions on account of his sexual misconduct because, as an Archdiocesan spokesman now confirms, at Viganò’s request as then papal nuncio Wuerl had to cancel a public appearance by McCarrick not long before Bergoglio’s election.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"In another setback for the propaganda machine gearing up to impeach Viganò’s testimony, the Catholic Herald has just reported that Cardinal Wuerl must have known full well from Viganò himself that McCarrick was under Pope Benedict’s papal sanctions on account of his sexual misconduct because, as an Archdiocesan spokesman now confirms, at Viganò’s request as then papal nuncio Wuerl had to cancel a public appearance by McCarrick not long before Bergoglio’s election."
"He corrupted generations of seminarians and priests and Pope Benedict ordered him to withdraw to a life of prayer and penance.” The Pope did not make the slightest comment about those very grave words of mine and did not show any expression of surprise on his face, as if he had already known the matter for some time, and he immediately changed the subject.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"He corrupted generations of seminarians and priests and Pope Benedict ordered him to withdraw to a life of prayer and penance.” The Pope did not make the slightest comment about those  grave words of mine and did not show any expression of surprise on his face, as if he had already known the matter for some time, and he immediately changed the subject."
"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church."
He is the very exemplar of the crisis we must still endure….,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,He is the  exemplar of the issue we must still endure….
"Let the thing die of its own excesses, for as the “little synod” [the 2002 “pedophile summit”] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Let the thing die of its own excesses, for as the “little synod” [the 2002 “pedophile summit”] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II."
We must no longer subsidize the malpractice of the architects of ruin.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,We must no longer subsidize the malpractice of the architects of ruin.
Nor must we join the neo-Catholics in their mindless applause when one of these incompetents attempts to repoint a brick or two in the crumbling façade they have erected to obscure the Church of old.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,Nor must we join the neo-Catholics in their mindless applause when one of these incompetents attempts to repoint a brick or two in the crumbling façade they have erected to obscure the Church of old.
"As for William (“nighty-night baby!”) Tobin, after McCarrick had arranged for him to become Archbishop of Newark, Tobin, another episcopal booster of Martin’s pro-homosexual propaganda, promptly sponsored a “gay pilgrimage” to his cathedral in Newark.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"As for William (“nighty-night baby!”) Tobin, after McCarrick had arranged for him to become Archbishop of Newark, Tobin, another episcopal booster of Martin’s pro-homosexual propaganda, promptly sponsored a “gay pilgrimage” to his cathedral in Newark."
"As Viganò notes, it was Bergoglio who made Martin a “Consultor of the Secretariat for Communications,” even though he is a “well-known activist who promotes the LGBT agenda, chosen to corrupt the young people who will soon gather in Dublin for the World Meeting of Families…”
“Father” Martin now confidently declares, sixteen years after the “pedophile summit,” that “The idea of a purge of gay priests is both ridiculous and dangerous.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"As Viganò notes, it was Bergoglio who made Martin a “Consultor of the Secretariat for Communications,” even though he is a “well-known activist who promotes the LGBT agenda, chosen to corrupt the young people who will soon gather in Dublin for the World Meeting of Families…” “Father” Martin now confidently declares, sixteen years after the “pedophile summit,” that “The idea of a purge of gay priests is both ridiculous and dangerous."
"A Worldwide Network of Corruption, Beginning at the Top
None of the foregoing is meant to suggest that the homosexual invasion of the Catholic hierarchy is confined to American prelates and priests.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"A Worldwide Network of Corruption, Beginning at the Top None of the foregoing is meant to suggest that the homosexual invasion of the Catholic hierarchy is confined to American prelates and priests."
"When an apostolic visitation, compelled by mounting public pressure, confirmed the charges against Pineda, he was forced to resign, even as Maradiaga dismissed the incontestable proofs against him as “slander.” Viganò notes that “the only thing that has been made public is that his resignation has simply been accepted, thus making any possible responsibility of his and Maradiaga vanish into nowhere.”
Despite the fall of his friend Pineda, Maradiaga continues todefend and protect the homosexual corruption of his own seminary, involving incontrovertible evidence of rampant sodomy among the seminarians he refuses to dismiss, rejecting all the evidence as “gossip.” Concerning Maradiaga, who is also mired in financial corruption for which he offers no credible explanation, Viganò provides this withering assessment of the man and his relation to Bergoglio:
In a team effort with Cardinal Rodriguez Maradiaga, [McCarrick] had become the kingmaker for appointments in the Curia and the United States, and the most listened to advisor in the Vatican for relations with the Obama administration.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"When an apostolic visitation, compelled by mounting public pressure, confirmed the charges against Pineda, he was forced to resign, even as Maradiaga dismissed the incontestable proofs against him as “slander.” Viganò notes that “the only thing that has been made public is that his resignation has simply been accepted, thus making any possible responsibility of his and Maradiaga vanish into nowhere.” Despite the fall of his friend Pineda, Maradiaga continues todefend and protect the homosexual corruption of his own seminary, involving incontrovertible evidence of rampant sodomy among the seminarians he refuses to dismiss, rejecting all the evidence as “gossip.” Concerning Maradiaga, who is also mired in financial corruption for which he offers no credible explanation, Viganò provides this withering assessment of the man and his relation to Bergoglio: In a team effort with Cardinal Rodriguez Maradiaga, [McCarrick] had become the kingmaker for appointments in the Curia and the United States, and the most listened to advisor in the Vatican for relations with the Obama administration."
"With these appointments the Nunciature in Washington was now out of the picture in the appointment of bishops….. By now the faithful have well understood Maradiaga’s strategy: insult the victims to save himself, lie to the bitter end to cover up a chasm of abuses of power, of mismanagement in the administration of Church property, and of financial disasters even against close friends, as in the case of the Ambassador of Honduras Alejandro Valladares, former Dean of the Diplomatic Corps to the Holy See….",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"With these appointments the Nunciature in Washington was now out of the picture in the appointment of bishops….. By now the faithful have well understood Maradiaga’s strategy: insult the victims to save himself, lie to the bitter end to cover up a chasm of abuses of power, of mismanagement in the administration of Church property, and of financial disasters even against close friends, as in the case of the Ambassador of Honduras Alejandro Valladares, former Dean of the Diplomatic Corps to the Holy See…."
